Concept,Positive Prompt Type 1,Negative Prompt Type 1,Positive Prompt Type 2,Negative Prompt Type 2,Positive Label,Negative Label
School,School, ,I talk about schools constantly,I do not talk about schools constantly,This text relates to schools,This text does not relate to schools
Screenwriter,Screenwriter, ,I talk about screenwriters constantly,I do not talk about screenwriters constantly,This text relates to screenwriters,This text does not relate to screenwriters
Senator,Senator, ,I talk about senators constantly,I do not talk about senators constantly,This text relates to senators,This text does not relate to senators
Shopping Mall,Shopping Mall, ,I talk about shopping malls constantly,I do not talk about shopping malls constantly,This text relates to shopping malls,This text does not relate to shopping malls
Single,Single, ,I talk about singles constantly,I do not talk about singles constantly,This text relates to singles,This text does not relate to singles
Skating,Skating, ,I talk about skating constantly,I do not talk about skating constantly,This text relates to skating,This text does not relate to skating
Skiing,Skiing, ,I talk about skiing constantly,I do not talk about skiing constantly,This text relates to skiing,This text does not relate to skiing
Soap Character,Soap Character, ,I talk about soap characters constantly,I do not talk about soap characters constantly,This text relates to soap characters,This text does not relate to soap characters
Soccer,Soccer, ,I talk about soccer constantly,I do not talk about soccer constantly,This text relates to soccer,This text does not relate to soccer
Soccer Manager,Soccer Manager, ,I talk about soccer managers constantly,I do not talk about soccer managers constantly,This text relates to soccer managers,This text does not relate to soccer managers
Solar Eclipse,Solar Eclipse, ,I talk about solar eclipses constantly,I do not talk about solar eclipses constantly,This text relates to solar eclipses,This text does not relate to solar eclipses
Sports Team Member,Sports Team Member, ,I talk about sports team members constantly,I do not talk about sports team members constantly,This text relates to sports team members,This text does not relate to sports team members
Stadium,Stadium, ,I talk about stadiums constantly,I do not talk about stadiums constantly,This text relates to stadiums,This text does not relate to stadiums
Sumo,Sumo, ,I talk about sumo constantly,I do not talk about sumo constantly,This text relates to sumo,This text does not relate to sumo
Swimming,Swimming, ,I talk about swimming constantly,I do not talk about swimming constantly,This text relates to swimming,This text does not relate to swimming
Table Tennis,Table Tennis, ,I talk about table tennis constantly,I do not talk about table tennis constantly,This text relates to table tennis,This text does not relate to table tennis
Television Station,Television Station, ,I talk about television stations constantly,I do not talk about television stations constantly,This text relates to television stations,This text does not relate to television stations
Tennis,Tennis, ,I talk about tennis constantly,I do not talk about tennis constantly,This text relates to tennis,This text does not relate to tennis
Theatre,Theatre, ,I talk about theatres constantly,I do not talk about theatres constantly,This text relates to theatres,This text does not relate to theatres
Town,Town, ,I talk about towns constantly,I do not talk about towns constantly,This text relates to towns,This text does not relate to towns
University,University, ,I talk about universities constantly,I do not talk about universities constantly,This text relates to universities,This text does not relate to universities
Video Game,Video Game, ,I talk about video games constantly,I do not talk about video games constantly,This text relates to video games,This text does not relate to video games
Village,Village, ,I talk about villages constantly,I do not talk about villages constantly,This text relates to villages,This text does not relate to villages
Voice Actor,Voice Actor, ,I talk about voice actors constantly,I do not talk about voice actors constantly,This text relates to voice actors,This text does not relate to voice actors
Volcano,Volcano, ,I talk about volcanoes constantly,I do not talk about volcanoes constantly,This text relates to volcanoes,This text does not relate to volcanoes
Winery,Winery, ,I talk about wineries constantly,I do not talk about wineries constantly,This text relates to wineries,This text does not relate to wineries
Wrestling,Wrestling, ,I talk about wrestling constantly,I do not talk about wrestling constantly,This text relates to wrestling,This text does not relate to wrestling
